trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2024-03-11,Greed,42,176519.44999999998,4202.844047619047,3588.179495,85.43284511904761,196.10462239183906
2024-03-12,Greed,8,103040.85,12880.10625,3039.166,379.89575,521.6006618377291
2024-03-13,Greed,7,6000.799999999999,857.2571428571428,0.0,0.0,0.0
2024-03-14,Greed,18,205933.18,11440.732222222221,3465.865832,192.5481017777778,254.30826281723253
2024-03-15,Greed,62,351894.41,5675.71629032258,6236.513651,100.58892985483871,195.43403376403242
2024-03-16,Greed,8,37223.66,4652.9575,228.57984,28.57248,80.815177453268
2024-03-17,Greed,23,99506.95,4326.389130434783,503.293955,21.882345869565217,43.52556412856168
2024-03-18,Greed,19,90458.08,4760.951578947369,1456.9577,76.68198421052631,275.58147845163944
2024-03-19,Greed,24,219884.84,9161.868333333334,668.797973,27.86658220833333,103.69610917201797
2024-03-20,Greed,69,215705.85,3126.171739130435,6423.134599,93.08890723188406,320.69467412818193
2024-03-21,Greed,28,117895.57,4210.556071428572,2335.5080749999997,83.41100267857142,153.73594964500796
2024-03-24,Greed,19,92592.20999999999,4873.274210526315,1297.018477,68.26413036842105,84.64288646631248
2024-03-25,Greed,7,57116.32,8159.4742857142855,1302.916428,186.13091828571427,173.14631124356953
2024-03-26,Greed,118,198565.19,1682.7558474576272,3215.906593,27.253445703389833,39.504335702364344
2024-03-27,Greed,38,99864.79,2628.020789473684,150.41114,3.9581878947368416,13.739361367709469
2024-03-28,Greed,13,35323.72,2717.209230769231,227.85100799999998,17.527000615384615,21.04651492781009
2024-03-29,Greed,15,86914.37,5794.291333333333,883.097404,58.873160266666666,95.5086831563824
2024-03-30,Greed,45,101103.92,2246.753777777778,1100.57514,24.45722533333333,52.44350104198017
2024-03-31,Greed,13,39912.96,3070.2276923076925,912.786145,70.21431884615384,112.05139600499244
2024-04-01,Greed,77,339470.47,4408.7074025974025,2507.963406,32.57095332467532,92.06770180124278
2024-04-02,Greed,41,239664.50999999998,5845.475853658536,883.760812,21.555141756097562,78.23542802217051
2024-04-03,Greed,4,16887.57,4221.8925,126.7884,31.6971,63.3942
2024-04-04,Greed,32,95987.73,2999.6165625,0.0,0.0,0.0
2024-04-05,Greed,100,503791.8,5037.918,10706.484306,107.06484306,304.1028007265851
2024-04-06,Greed,16,68223.67,4263.979375,236.33513399999998,14.770945874999999,42.149058574016486
2024-04-07,Greed,23,49988.14,2173.397391304348,0.0,0.0,0.0
2024-04-08,Greed,30,211940.64,7064.688,1218.4267,40.614223333333335,222.45326275219327
2024-04-09,Greed,3,57063.840000000004,19021.280000000002,0.0,0.0,0.0
2024-04-10,Greed,41,351735.97,8578.926097560974,5207.443414,127.01081497560976,197.76893722954745
2024-04-11,Greed,16,76400.96,4775.06,389.743164,24.35894775,69.72639235953248
2024-04-12,Greed,129,442088.59,3427.0433333333335,-592.6458390000001,-4.594153790697676,122.96278242038903
2024-04-13,Greed,89,486411.25,5465.294943820225,6621.451755,74.3983343258427,185.05277424135176
2024-04-14,Greed,107,659162.17,6160.394112149533,-36104.012520000004,-337.4206777570094,2139.677020173523
2024-04-15,Greed,41,291111.19,7100.272926829269,3774.08872,92.05094439024391,165.5095385447801
2024-04-16,Greed,47,181907.17,3870.3653191489366,2467.702221,52.504302574468085,103.5102238356102
2024-04-17,Greed,14,97562.99,6968.785000000001,2441.4683999999997,174.39059999999998,232.6697853775852
2024-04-19,Greed,35,337257.92000000004,9635.940571428573,1946.4454620000001,55.61272748571429,114.02941773198246
2024-04-20,Greed,22,60733.24,2760.601818181818,0.0,0.0,0.0
2024-04-22,Greed,9,47993.61,5332.623333333333,0.0,0.0,0.0
2024-04-23,Greed,66,233054.9,3531.1348484848486,1119.536196,16.962669636363636,69.72604971216398
2024-04-24,Greed,20,141275.24,7063.762,279.185907,13.95929535,47.020172247729526
2024-04-25,Greed,74,120241.01,1624.8785135135136,0.0,0.0,0.0
2024-04-26,Greed,3,4988.290000000001,1662.7633333333335,0.0,0.0,0.0
2024-04-27,Greed,27,154264.47,5713.498888888889,4281.488139,158.57363477777778,205.65189595972714
2024-04-28,Greed,58,43985.6,758.3724137931034,0.0,0.0,0.0
2024-04-29,Greed,45,108699.01,2415.5335555555553,526.9338359999999,11.709640799999999,34.303515225260476
2024-04-30,Greed,24,125018.75,5209.114583333333,0.0,0.0,0.0
2024-05-01,Greed,14,87025.45,6216.103571428571,0.0,0.0,0.0
2024-05-03,Greed,36,282682.64999999997,7852.295833333333,5306.017045,147.3893623611111,280.85451321791754
2024-05-04,Greed,9,58998.75,6555.416666666667,0.0,0.0,0.0
2024-05-05,Greed,6,24068.350000000002,4011.391666666667,0.916,0.15266666666666667,0.37395543406489856
2024-05-06,Greed,9,206016.43,22890.714444444442,968.59038,107.62115333333333,237.64601629026436
2024-05-07,Greed,18,108717.58,6039.865555555556,883.537693,49.08542738888889,57.79243416391551
2024-05-08,Greed,13,65973.57,5074.89,1.56576,0.12044307692307693,1.641780493282545
2024-05-09,Greed,28,221966.12,7927.361428571428,1147.595856,40.985566285714285,92.95513364107583
2024-05-10,Greed,22,156882.0,7131.0,2101.741695,95.53371340909092,240.61922882162773
2024-05-11,Greed,9,63248.95,7027.661111111111,251.604742,27.956082444444444,38.73340875071258
2024-05-12,Greed,23,55179.56,2399.111304347826,0.0,0.0,0.0
2024-05-13,Greed,28,193118.9,6897.103571428571,2136.853859,76.31620925,243.34956677379947
2024-05-14,Greed,23,145853.4,6341.452173913043,1150.5233050000002,50.02275239130436,172.16967241498202
2024-05-15,Greed,36,234922.57,6525.626944444444,948.970582,26.360293944444447,49.856725134153635
2024-05-16,Greed,27,162620.96,6022.998518518518,214.5898,7.94777037037037,22.074222982345514
2024-05-18,Greed,25,126303.14,5052.1256,3522.3946610000003,140.89578644000002,227.39973415277277
2024-05-19,Greed,8,29998.09,3749.76125,0.0,0.0,0.0
2024-05-20,Greed,10,38124.75,3812.475,-74.818442,-7.4818442,17.723593661416892
2024-05-21,Greed,125,1100948.59,8807.588720000002,7289.397571999999,58.31518057599999,423.27708989145884
2024-05-22,Greed,6,44995.29,7499.215,0.0,0.0,0.0
2024-05-23,Greed,325,401850.6,1236.4633846153845,413.347329,1.2718379353846154,5.578175006741024
2024-05-24,Greed,2,50811.899999999994,25405.949999999997,821.949278,410.974639,255.14111984227185
2024-05-25,Greed,16,29991.129999999997,1874.4456249999998,14.126038999999999,0.8828774374999999,1.5788774135169148
2024-05-26,Greed,16,53976.67,3373.541875,778.6839,48.66774375,184.14441743928418
2024-05-27,Greed,251,151115.72,602.0546613545816,1129.35587,4.499425776892431,10.695100246439745
2024-05-29,Greed,164,84268.76,513.8339024390243,277.791953,1.6938533719512194,4.9605585779682295
2024-05-30,Greed,7,2838.09,405.4414285714286,20.951433,2.9930618571428576,3.7577088098581393
2024-05-31,Greed,13,3636.14,279.70307692307694,25.35812,1.9506246153846154,3.8342365986890954
2024-06-01,Greed,25,12834.62,513.3848,91.510419,3.66041676,7.909299454844354
